alpha,steps
0.16,3173
0.16,7927
0.16,5679
0.16,6842
0.16,4982
0.16,3572
0.16,3176
0.16,2665
0.16,3602
0.16,4516
0.16,3079
0.16,2672
0.16,4557
0.16,4729
0.16,2060
0.16,3053
0.16,1755
0.16,4246
0.16,2347
0.16,3048
0.16,4597
0.16,4343
0.16,2611
0.16,3197
0.16,3704
0.16,4006
0.16,4575
0.16,3387
0.16,2429
0.16,4001
0.16,3819
0.16,4029
0.16,5467
0.16,3353
0.16,4342
0.16,8322
0.16,6417
0.16,2715
0.16,4973
0.16,3858
0.16,3654
0.16,4516
0.16,2415
0.16,5688
0.16,3743
0.16,1980
0.16,3519
0.16,3044
0.16,4341
0.16,3714
0.16,3042
0.16,6511
0.16,2230
0.16,4212
0.16,5676
0.16,5560
0.16,3876
0.16,2645
0.16,4201
0.16,3313
0.16,3508
0.16,2280
0.16,3130
0.16,4429
0.16,3045
0.16,3010
0.16,3223
0.16,4145
0.16,2713
0.16,2503
0.16,3071
0.16,4212
0.16,4470
0.17,5726
0.17,3325
0.17,2837
0.17,3111
0.17,2801
0.17,4425
0.17,7472
0.17,3596
0.17,5176
0.17,2954
0.17,4001
0.17,3213
0.17,3477
0.17,3927
0.17,3686
0.17,5094
0.17,2753
0.17,4304
0.17,2477
0.17,3750
0.17,5262
0.17,5010
0.17,4219
0.17,3096
0.17,3690
0.17,3445
0.17,3434
0.17,5509
0.17,2507
0.17,3579
0.17,2872
0.17,6582
0.17,4111
0.17,2715
0.17,5921
0.17,3684
0.17,2358
0.17,2160
0.17,3149
0.17,2955
0.17,6070
0.17,3574
0.17,3523
0.17,3283
0.17,1814
0.17,2718
0.17,4695
0.17,3827
0.17,4692
0.17,4477
0.17,3107
0.17,4510
0.17,2503
0.17,2170
0.17,3319
0.17,4881
0.17,3999
0.17,8586
0.17,2954
0.17,3062
0.17,5842
0.17,3017
0.17,3043
0.17,2382
0.17,3812
0.17,3103
0.17,3479
0.17,3664
0.17,3365
0.17,5338
0.17,3964
0.17,4047
0.17,2822
0.17,4294
0.17,4803
0.17,2978
0.17,2649
0.17,5773
0.17,4277
0.17,3251
0.17,3333
0.17,2499
0.17,5246
0.17,3301
0.17,5830
0.17,3498
0.17,2899
0.17,3307
0.17,1957
0.17,5537
0.17,2189
0.17,4051
0.17,2508
0.17,4542
0.17,2131
0.17,3828
0.17,3211
0.17,3910
0.17,2677
0.17,4143
0.18,3285
0.18,5363
0.18,3552
0.18,6500
0.18,5233
0.18,3896
0.18,5153
0.18,2004
0.18,2214
0.18,4287
0.18,1948
0.18,4273
0.18,3310
0.18,3026
0.18,4371
0.18,2922
0.18,3394
0.18,4286
0.18,3867
0.18,3950
0.18,2851
0.18,4102
0.18,4320
0.18,3365
0.18,3563
0.18,5104
0.18,3647
0.18,3614
0.18,4484
0.18,2607
0.18,3699
0.18,3668
0.18,2892
0.18,3100
0.18,4818
0.18,4747
0.18,3730
0.18,4027
0.18,3616
0.18,3918
0.18,4716
