alpha,steps
0.12,1701
0.12,2729
0.12,4462
0.12,2905
0.12,2560
0.12,2537
0.12,4264
0.12,3643
0.12,3377
0.12,3283
0.12,2973
0.12,3689
0.12,4893
0.12,2185
0.12,3052
0.12,3090
0.12,6046
0.13,2881
0.13,2029
0.13,2610
0.13,3143
0.13,5502
0.13,3389
0.13,3686
0.13,3832
0.13,2811
0.13,4185
0.13,2556
0.13,3020
0.13,3844
0.13,3095
0.13,3558
0.13,2663
0.13,3353
0.13,3339
0.13,4977
0.13,2136
0.13,3643
0.13,3209
0.13,3879
0.13,3068
0.13,3923
0.13,4934
0.13,3002
0.13,3082
0.13,2718
0.13,2624
0.13,3078
0.13,3873
0.13,3560
0.13,3145
0.13,2311
0.13,2923
0.13,2164
0.13,2778
0.13,3097
0.13,3363
0.13,2686
0.13,2993
0.13,3629
0.13,4063
0.13,3874
0.13,3271
0.13,4079
0.13,4607
0.13,5065
0.13,2412
0.13,2908
0.13,4592
0.13,2400
0.13,1903
0.13,3480
0.13,4514
0.13,4820
0.13,3044
0.13,2730
0.13,3791
0.13,2609
0.13,2463
0.13,3847
0.13,5028
0.13,3756
0.13,2226
0.13,2544
0.13,3590
0.13,2320
0.13,5652
0.13,3976
0.13,2829
0.13,2936
0.13,3820
0.13,2903
0.13,3663
0.13,2496
0.13,2649
0.13,2131
0.13,4664
0.13,4722
0.13,2549
0.13,5092
0.13,3450
0.13,3399
0.13,3952
0.13,2137
0.13,3549
0.13,4819
0.13,3616
0.13,3591
0.13,4715
0.13,2651
0.13,2307
0.13,2925
0.13,4718
0.13,3516
0.13,3694
0.13,5157
0.13,3265
0.14,4029
0.14,4232
0.14,2286
0.14,3313
0.14,2239
0.14,2591
0.14,2927
0.14,3749
0.14,4105
0.14,8028
0.14,3255
0.14,4919
0.14,1593
0.14,2316
0.14,4692
0.14,2440
0.14,4540
0.14,3785
0.14,3689
0.14,3162
0.14,4435
0.14,3032
0.14,3605
0.14,5241
0.14,1976
0.14,3711
0.14,3136
0.14,5079
0.14,3127
0.14,3081
0.14,2619
0.14,4413
0.14,3224
0.14,2355
0.14,5377
0.14,4216
0.14,3904
0.14,3057
0.14,3748
0.14,4715
0.14,6099
0.14,3642
0.14,3481
0.14,2304
0.14,4202
0.14,2458
0.14,4014
0.14,2806
0.14,3372
0.14,2887
0.14,4440
0.14,8275
0.14,3419
0.14,3144
0.14,4293
0.14,1904
0.14,5415
0.14,4462
0.14,5130
0.14,2023
0.14,3281
0.14,2960
0.14,3219
0.14,3914
0.14,2412
0.14,2686
0.14,4392
0.14,2689
0.14,1939
0.14,3255
0.14,3825
0.14,2098
0.14,4301
0.14,6458
0.14,3026
0.14,3749
0.14,2721
0.14,2049
0.14,5758
0.14,3706
0.14,2955
0.14,4525
0.14,1967
0.14,5077
0.14,2635
0.14,5398
0.14,2753
0.14,6348
0.14,5171
0.14,5371
0.14,2250
0.14,3344
0.14,4722
0.14,4595
0.14,2391
0.14,2460
0.14,3490
0.14,4058
0.14,3887
0.14,3057
0.15,3245
0.15,3790
0.15,4742
0.15,2425
0.15,4082
0.15,2301
0.15,4645
0.15,2788
0.15,3071
0.15,3031
0.15,5686
0.15,3091
0.15,3341
0.15,4808
0.15,3121
0.15,4991
0.15,3530
0.15,4310
0.15,3962
0.15,2523
0.15,4439
0.15,3114
0.15,4557
0.15,4383
0.15,4756
0.15,4857
0.15,4915
0.15,2241
0.15,4515
0.15,5392
0.15,4212
0.15,5496
